cell_line_name,run_accession,tissue,disease,disease_primary,disease_secondary,disease_stage,age_at_sampling,sex,ethnicity,genomewide,promoter,cgi,cpg_shore,cpg_shelf,methylation_canyon,exon,intron,gene_body,LINE,SINE,LTR
HuG1-N,SRR8633212,stomach,carcinoma,carcinoma,,primary,55.0,male,Asian,0.389219,0.10999,0.195088,0.469037,0.616874,0.16983,0.369838,0.424471,0.411498,0.509537,0.612462,0.532368
NCI-H1385,SRR8633213,lung,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,metastasis,,,African_american,0.421756,0.0928939,0.165592,0.499104,0.731575,0.122737,0.3392,0.45708,0.421856,0.681262,0.70942,0.71676
NCI-H1395,SRR8633214,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,55.0,female,Caucasian,0.434453,0.102306,0.181015,0.516994,0.725353,0.151173,0.394288,0.483632,0.459792,0.622773,0.685926,0.611338
NCI-H1339,SRR8633215,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,49.0,female,African_american,0.32053,0.0718565,0.153065,0.419044,0.574011,0.114699,0.328711,0.374106,0.363318,0.441079,0.550019,0.441162
NCI-H1341,SRR8633216,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,,female,Caucasian,0.51142,0.167715,0.277225,0.604127,0.762728,0.253886,0.460626,0.54626,0.523982,0.681959,0.76053,0.665421
NCI-H1355,SRR8633217,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,53.0,male,Caucasian,0.560013,0.173091,0.244556,0.588681,0.781666,0.217541,0.462385,0.585587,0.55405,0.779548,0.769823,0.789657
NCI-H1373,SRR8633218,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,56.0,male,African_american,0.486771,0.175761,0.280898,0.562983,0.722707,0.267988,0.468031,0.509477,0.501826,0.654617,0.710439,0.6898
NCI-H1105,SRR8633219,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,73.0,male,Caucasian,0.518811,0.116179,0.196411,0.606733,0.826728,0.16622,0.403382,0.549489,0.507834,0.785698,0.792961,0.7901
NCI-H1155,SRR8633220,lung,carcinoma (large_cell_carcinoma),carcinoma ,large_cell_carcinoma,metastasis,36.0,male,Caucasian,0.435853,0.102183,0.201408,0.524783,0.692882,0.172728,0.390459,0.465433,0.445991,0.62702,0.7056,0.658081
NCI-H1184,SRR8633221,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,42.0,male,Caucasian,0.453898,0.0876412,0.176698,0.537684,0.723173,0.137991,0.388275,0.496158,0.466071,0.697142,0.759681,0.714123
NCI-H1299,SRR8633222,lung,carcinoma (non_small_cell_carcinoma),carcinoma ,non_small_cell_carcinoma,metastasis,43.0,male,Caucasian,0.42686,0.10073,0.175453,0.514724,0.740346,0.14752,0.358293,0.464345,0.434656,0.638388,0.680151,0.649179
EOL-1,SRR8633223,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M5",primary,33.0,male,Caucasian,0.54669,0.166109,0.262073,0.60179,0.783889,0.228175,0.484805,0.575381,0.553104,0.736445,0.807822,0.764926
EN,SRR8633224,endometrium,carcinoma,carcinoma,,primary,50.0,female,Asian,0.544933,0.142099,0.248428,0.646184,0.863691,0.204302,0.446563,0.570764,0.534629,0.809761,0.85458,0.835909
ES-2,SRR8633225,ovary,carcinoma (clear_cell_carcinoma),carcinoma ,clear_cell_carcinoma,primary,47.0,female,Caucasian,0.391319,0.136726,0.226846,0.468106,0.586863,0.193942,0.398102,0.42882,0.424076,0.509042,0.599119,0.528169
EPLC-272H,SRR8633226,lung,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,57.0,male,Caucasian,0.516712,0.109083,0.200248,0.619151,0.823391,0.174008,0.429672,0.553172,0.518578,0.752706,0.812303,0.779052
EJM,SRR8633227,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (plasma_cell_myeloma),lymphoid_neoplasm ,plasma_cell_myeloma,primary,58.0,female,Caucasian,0.243839,0.0771273,0.127115,0.298361,0.405417,0.0893786,0.276825,0.28801,0.288102,0.299887,0.408153,0.285564
EHEB,SRR8633228,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma),lymphoid_neoplasm ,,primary,69.0,female,Caucasian,0.260208,0.0686176,0.124764,0.332218,0.438607,0.0872599,0.278955,0.302085,0.298264,0.342557,0.450088,0.350222
EM-2,SRR8633229,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia),haematopoietic_neoplasm ,blast_phase_chronic_myeloid_leukaemia,primary,5.0,female,Caucasian,0.595545,0.207616,0.315156,0.637078,0.82338,0.306475,0.523151,0.614336,0.591863,0.814498,0.830104,0.840615
EKVX,SRR8633230,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,,,Caucasian,0.455585,0.122742,0.212463,0.533217,0.720591,0.179598,0.423148,0.501994,0.481848,0.613282,0.686581,0.642528
Hs 888.T,SRR8633231,bone,osteosarcoma,osteosarcoma,,metastasis,20.0,male,Caucasian,0.397892,0.0563132,0.110218,0.474124,0.699218,0.049209,0.328054,0.436242,0.405441,0.672053,0.763063,0.704276
Hs 934.T,SRR8633232,skin,malignant_melanoma,malignant_melanoma,,primary,58.0,female,Caucasian,0.339,0.0528306,0.103275,0.411307,0.605518,0.05403,0.297692,0.382475,0.35925,0.544218,0.63504,0.557527
Hs 936.T,SRR8633233,skin,malignant_melanoma,malignant_melanoma,,primary,,male,Caucasian,0.427041,0.135831,0.234343,0.500672,0.658943,0.204417,0.395687,0.461017,0.444078,0.593714,0.694496,0.615585
Hs 939.T,SRR8633234,skin,malignant_melanoma,malignant_melanoma,,primary,24.0,female,Caucasian,0.357839,0.0884887,0.165207,0.462912,0.616699,0.126573,0.346335,0.406667,0.391187,0.50016,0.606456,0.497879
F-36P,SRR8633235,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M6)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M6",metastasis,68.0,male,Asian,0.335136,0.0998675,0.190328,0.383727,0.503163,0.152054,0.365476,0.380125,0.38025,0.401618,0.492793,0.414785
Hs 839.T,SRR8633236,skin,malignant_melanoma,malignant_melanoma,,primary,42.0,female,Caucasian,0.403475,0.0658871,0.127548,0.49067,0.699542,0.0644996,0.341298,0.440082,0.412038,0.675795,0.739446,0.705432
Hs 852.T,SRR8633237,skin,malignant_melanoma,malignant_melanoma,,primary,,,Asian,0.449517,0.123678,0.216313,0.523598,0.66853,0.193044,0.401558,0.481864,0.460874,0.647529,0.715009,0.665046
Hs 870.T,SRR8633238,bone,osteosarcoma,osteosarcoma,,primary,,,Caucasian,0.414251,0.0628397,0.122695,0.484949,0.686292,0.0635364,0.349968,0.455608,0.427018,0.647115,0.714019,0.666297
NCI-H2172,SRR8633239,lung,carcinoma (non_small_cell_carcinoma),carcinoma ,non_small_cell_carcinoma,primary,,female,African_american,0.368767,0.0839865,0.161221,0.441767,0.629301,0.116814,0.369337,0.419668,0.408632,0.474003,0.586963,0.458874
NCI-H2171,SRR8633240,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,50.0,male,Caucasian,0.443434,0.103897,0.19526,0.553815,0.747556,0.167167,0.385602,0.481113,0.454629,0.650858,0.688353,0.637463
SU-DHL-6,SRR8633241,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),lymphoid_neoplasm ,diffuse_large_B_cell_lymphoma,metastasis,43.0,male,Caucasian,0.438393,0.198868,0.296914,0.464826,0.570506,0.306476,0.441998,0.450064,0.452662,0.557585,0.633312,0.601503
NCI-H209,SRR8633242,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,55.0,male,Caucasian,0.374136,0.0646382,0.139696,0.436256,0.598869,0.0950546,0.337424,0.41944,0.397892,0.537108,0.639278,0.558276
NCI-H2087,SRR8633243,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,69.0,male,Caucasian,0.527064,0.169401,0.262845,0.610909,0.795141,0.247162,0.470325,0.559553,0.536545,0.717804,0.781186,0.726054
NCI-H2110,SRR8633244,lung,carcinoma (non_small_cell_carcinoma),carcinoma ,non_small_cell_carcinoma,metastasis,,,African_american,0.426916,0.118929,0.206591,0.510155,0.681601,0.178255,0.408252,0.476961,0.46006,0.559576,0.651989,0.559935
NCI-H2106,SRR8633245,lung,carcinoma (non_small_cell_carcinoma),carcinoma ,non_small_cell_carcinoma,metastasis,58.0,male,Caucasian,0.424842,0.0803707,0.157588,0.498141,0.684101,0.108009,0.3613,0.467571,0.437558,0.657128,0.736534,0.661648
NCI-H2122,SRR8633246,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,46.0,female,Caucasian,0.443361,0.127834,0.220235,0.49054,0.662943,0.195419,0.417037,0.474075,0.46145,0.601973,0.680478,0.615994
NCI-H211,SRR8633247,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,50.0,female,Caucasian,0.409725,0.0723173,0.137808,0.442493,0.620976,0.0959858,0.34688,0.452807,0.422278,0.665376,0.730261,0.71265
NCI-H2170,SRR8633248,lung,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,,male,Caucasian,0.403368,0.0748968,0.143586,0.454585,0.644555,0.11572,0.341659,0.440351,0.412561,0.669247,0.736545,0.7215
NCI-H2126,SRR8633249,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,65.0,male,Caucasian,0.346311,0.0694932,0.137449,0.430049,0.603605,0.0881137,0.339595,0.405146,0.388003,0.482216,0.608189,0.469507
SF126,SRR8633250,central_nervous_system,glioma (astrocytoma),glioma ,astrocytoma,primary,,,Caucasian,0.512708,0.212769,0.32261,0.60559,0.736726,0.28362,0.49831,0.544393,0.535165,0.627069,0.727236,0.630017
Set-2,SRR8633251,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm (essential_thrombocythaemia),haematopoietic_neoplasm ,essential_thrombocythaemia,primary,71.0,female,Asian,0.371595,0.07668,0.142675,0.446111,0.645335,0.0759537,0.344181,0.415618,0.397013,0.534621,0.636466,0.558421
SEM,SRR8633252,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),lymphoid_neoplasm ,acute_lymphoblastic_B_cell_leukaemia,primary,5.0,female,Caucasian,0.612972,0.246045,0.345433,0.651805,0.822403,0.321605,0.546449,0.622366,0.604413,0.844796,0.872495,0.874926
SNU-1077,SRR8633253,endometrium,carcinoma (carcinosarcoma-malignant_mesodermal_mixed_tumour),carcinoma ,,primary,60.0,female,Asian,0.423049,0.091312,0.172322,0.507456,0.715526,0.118069,0.392078,0.466802,0.447883,0.611814,0.686247,0.619254
SCLC-21H,SRR8633254,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,46.0,male,Caucasian,0.428727,0.0739629,0.1533,0.484555,0.677248,0.10988,0.354272,0.456252,0.427198,0.703699,0.775039,0.734588
SCC-9,SRR8633255,upper_aerodigestive_tract,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,25.0,male,Caucasian,0.300905,0.0702894,0.145194,0.373251,0.511442,0.108322,0.315774,0.345993,0.340601,0.39813,0.498171,0.397391
SCC-4,SRR8633256,upper_aerodigestive_tract,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,55.0,male,Caucasian,0.393626,0.0958828,0.195194,0.449112,0.608261,0.156261,0.391886,0.439999,0.429792,0.546195,0.637488,0.590701
SCC-25,SRR8633257,upper_aerodigestive_tract,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,70.0,male,Caucasian,0.41042,0.100405,0.184077,0.492616,0.655348,0.148892,0.382709,0.44814,0.431932,0.563712,0.649798,0.581944
SCC-15,SRR8633258,upper_aerodigestive_tract,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,55.0,male,Caucasian,0.523235,0.148887,0.256616,0.604974,0.786491,0.232712,0.462586,0.552986,0.529726,0.700755,0.751922,0.723149
SNU-1079,SRR8633259,biliary_tract,carcinoma,carcinoma,,primary,,,Asian,0.564503,0.229794,0.344912,0.669938,0.821091,0.339915,0.532775,0.60287,0.586103,0.677665,0.762798,0.672641
UO-31,SRR8633260,kidney,carcinoma (renal_cell_carcinoma),carcinoma ,renal_cell_carcinoma,primary,,male,Caucasian,0.472957,0.0923035,0.175082,0.544238,0.748373,0.133776,0.414163,0.517616,0.49045,0.71997,0.779516,0.736961
UM-UC-3,SRR8633261,urinary_tract,carcinoma (transitional_cell_carcinoma),carcinoma ,transitional_cell_carcinoma,primary,,male,Caucasian,0.529498,0.214115,0.339195,0.645021,0.7771,0.314574,0.510686,0.564346,0.552278,0.629166,0.721908,0.64997
UM-UC-1,SRR8633262,urinary_tract,carcinoma (transitional_cell_carcinoma),carcinoma ,transitional_cell_carcinoma,primary,,male,African_american,0.50165,0.161996,0.266187,0.571749,0.749234,0.256982,0.457668,0.527763,0.511161,0.67467,0.733846,0.702358
U-BLC1,SRR8633263,urinary_tract,carcinoma (transitional_cell_carcinoma),carcinoma ,transitional_cell_carcinoma,primary,,female,African_american,0.338395,0.0799136,0.150245,0.421782,0.591431,0.122772,0.326981,0.381958,0.368194,0.505174,0.602164,0.511091
UACC-893,SRR8633264,breast,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,primary,57.0,female,Caucasian,0.463091,0.154931,0.258247,0.547996,0.716699,0.226799,0.442175,0.492601,0.481469,0.632351,0.711502,0.662468
UACC-812,SRR8633265,breast,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,primary,43.0,female,Caucasian,0.527299,0.131856,0.237587,0.626385,0.832537,0.225809,0.454792,0.561825,0.532723,0.731271,0.765374,0.748603
UACC-62,SRR8633266,skin,malignant_melanoma,malignant_melanoma,,primary,,,Caucasian,0.45072,0.141035,0.240463,0.558756,0.720168,0.210367,0.417125,0.487757,0.469523,0.600655,0.706605,0.598657
UACC-257,SRR8633267,skin,malignant_melanoma,malignant_melanoma,,primary,,,Caucasian,0.399107,0.0932288,0.166474,0.497493,0.657609,0.135481,0.355812,0.444797,0.420563,0.573728,0.665675,0.571572
SNU-1197,SRR8633268,large_intestine,carcinoma,carcinoma,,primary,70.0,male,Asian,0.439607,0.122697,0.213137,0.474717,0.642153,0.182306,0.409954,0.469094,0.455618,0.606911,0.69058,0.631602
SU-DHL-1,SRR8633269,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (anaplastic_large_cell_lymphoma),lymphoid_neoplasm ,anaplastic_large_cell_lymphoma,metastasis,10.0,male,Caucasian,0.604608,0.341337,0.459839,0.676031,0.773582,0.469324,0.592138,0.613797,0.612662,0.692719,0.744202,0.733976
CJM,SRR8633270,skin,malignant_melanoma,malignant_melanoma,,metastasis,,,Asian,0.414024,0.161481,0.261166,0.475672,0.608033,0.228744,0.433323,0.443769,0.446094,0.512946,0.617385,0.537169
HUP-T4,SRR8633271,pancreas,carcinoma,carcinoma,,metastasis,60.0,male,Asian,0.400305,0.0924298,0.160036,0.440034,0.621639,0.126829,0.34685,0.43041,0.409503,0.57289,0.621703,0.600816
WM1799,SRR8633272,skin,malignant_melanoma,malignant_melanoma,,primary,,,Caucasian,0.347645,0.0842665,0.158665,0.43612,0.581199,0.111883,0.339222,0.384874,0.374611,0.492771,0.615063,0.503417
JHOM-2B,SRR8633273,ovary,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,,female,Asian,0.481064,0.131128,0.21886,0.520734,0.727483,0.195935,0.418486,0.51036,0.487211,0.702145,0.732237,0.716067
JHOS-2,SRR8633274,ovary,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,45.0,female,Asian,0.465005,0.081085,0.155885,0.553328,0.763587,0.109395,0.388031,0.504096,0.471627,0.722712,0.778193,0.747022
Hs 611.T,SRR8633275,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (Hodgkin_lymphoma),lymphoid_neoplasm ,Hodgkin_lymphoma,primary,48.0,female,Caucasian,0.443884,0.0802092,0.13537,0.516005,0.7588,0.0775983,0.367036,0.478548,0.447724,0.731925,0.789491,0.756434
JHUEM-1,SRR8633276,endometrium,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,56.0,female,Asian,0.383822,0.0868707,0.161647,0.428551,0.586063,0.123926,0.359235,0.423885,0.40812,0.561946,0.651289,0.597279
JHH-6,SRR8633277,liver,carcinoma (hepatocellular_carcinoma),carcinoma ,hepatocellular_carcinoma,primary,57.0,female,Asian,0.410504,0.124795,0.202986,0.480509,0.656704,0.17171,0.380656,0.452231,0.434522,0.540949,0.613808,0.531039
JHH-7,SRR8633278,liver,carcinoma (hepatocellular_carcinoma),carcinoma ,hepatocellular_carcinoma,primary,53.0,male,Asian,0.47875,0.0956289,0.162496,0.538842,0.756446,0.126133,0.396132,0.517479,0.485848,0.70607,0.756156,0.726131
JHOC-5,SRR8633279,ovary,carcinoma (clear_cell_carcinoma),carcinoma ,clear_cell_carcinoma,primary,,female,Asian,0.440353,0.12622,0.21416,0.508934,0.670837,0.178783,0.416692,0.475615,0.461604,0.635236,0.716696,0.666362
JHOM-1,SRR8633280,ovary,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,,female,Asian,0.411175,0.148798,0.230096,0.485454,0.622533,0.199719,0.417194,0.454853,0.447627,0.532097,0.629169,0.526128
JHUEM-2,SRR8633281,endometrium,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,62.0,female,Asian,0.519158,0.139211,0.234463,0.571393,0.775492,0.17993,0.448354,0.547683,0.521202,0.739219,0.776993,0.758781
JHUEM-3,SRR8633282,endometrium,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,,,Asian,0.487354,0.104203,0.201526,0.565682,0.803087,0.143056,0.419573,0.520346,0.492696,0.7364,0.775077,0.751498
TT-OESOPHAGUS,SRR8633283,,,,,,,,,0.484781,0.117032,0.216479,0.570577,0.746097,0.177845,0.427234,0.518179,0.494019,0.672386,0.736425,0.703926
TT-THYROID,SRR8633284,thyroid,carcinoma (medullary_carcinoma),carcinoma ,medullary_carcinoma,primary,77.0,female,Caucasian,0.358329,0.0590457,0.118974,0.421143,0.611228,0.0796152,0.327124,0.419805,0.394264,0.5377,0.613018,0.503424
U-251 MG,SRR8633285,central_nervous_system,glioma (astrocytoma),glioma ,astrocytoma,primary,,male,Caucasian,0.461089,0.145943,0.250065,0.554538,0.706713,0.20531,0.440268,0.489489,0.478994,0.642188,0.743379,0.655031
PA-TU-8988S,SRR8633286,pancreas,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,metastasis,64.0,female,Caucasian,0.486495,0.169158,0.274437,0.554393,0.719122,0.261949,0.45848,0.513909,0.50182,0.618901,0.677253,0.631829
Hs 616.T,SRR8633287,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (Hodgkin_lymphoma),lymphoid_neoplasm ,Hodgkin_lymphoma,primary,16.0,male,Caucasian,0.403132,0.0603273,0.121237,0.492032,0.704565,0.0610448,0.347567,0.449006,0.42089,0.642474,0.740574,0.657987
AsPC-1,SRR8633288,pancreas,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,metastasis,62.0,female,Caucasian,0.49814,0.176322,0.280268,0.555433,0.735056,0.268545,0.467409,0.5201,0.509141,0.667006,0.726316,0.689427
AML-193,SRR8633289,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M5",primary,13.0,female,African_american,0.615964,0.258897,0.369767,0.676153,0.854436,0.386247,0.545798,0.627839,0.607411,0.831417,0.833858,0.850401
AMO-1,SRR8633290,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (plasma_cell_myeloma),lymphoid_neoplasm ,plasma_cell_myeloma,primary,64.0,female,Asian,0.509409,0.238958,0.335111,0.563179,0.712562,0.335171,0.502379,0.538691,0.532355,0.619919,0.694103,0.632144
ALL-SIL,SRR8633291,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia),lymphoid_neoplasm ,acute_lymphoblastic_T_cell_leukaemia,primary,17.0,male,Caucasian,0.67641,0.33994,0.449053,0.739667,0.880606,0.461755,0.608882,0.683437,0.665442,0.876898,0.890447,0.894996
AM-38,SRR8633292,central_nervous_system,"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)",glioma ,"astrocytoma_Grade_IV, glioblastoma_multiforme",primary,36.0,male,Asian,0.408511,0.203617,0.298354,0.488866,0.571327,0.2644,0.446199,0.44009,0.447449,0.46705,0.572006,0.494206
ACHN,SRR8633293,kidney,carcinoma (renal_cell_carcinoma),carcinoma ,renal_cell_carcinoma,metastasis,22.0,male,Caucasian,0.534143,0.118306,0.221314,0.642341,0.862525,0.18956,0.447096,0.559732,0.528353,0.839418,0.85995,0.868273
AGS,SRR8633294,stomach,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,54.0,female,Caucasian,0.63229,0.304935,0.420963,0.705664,0.859434,0.421376,0.586639,0.645903,0.632532,0.777861,0.832534,0.796261
AU565,SRR8633295,breast,carcinoma,carcinoma,,metastasis,43.0,female,Caucasian,0.283426,0.0720137,0.127596,0.363407,0.491476,0.0840379,0.281457,0.328225,0.316389,0.370986,0.482588,0.36328
BC-3C,SRR8633296,urinary_tract,carcinoma (transitional_cell_carcinoma),carcinoma ,transitional_cell_carcinoma,primary,82.0,female,Caucasian,0.531387,0.140093,0.242985,0.624644,0.806491,0.220805,0.460079,0.561674,0.534984,0.734978,0.788322,0.763712
JIMT-1,SRR8633297,breast,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,metastasis,62.0,female,Caucasian,0.397824,0.109687,0.186679,0.476459,0.663208,0.166916,0.373168,0.434212,0.420405,0.519572,0.5945,0.510028
JHUEM-7,SRR8633298,endometrium,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,58.0,female,Asian,0.568122,0.168681,0.27863,0.654959,0.851092,0.258123,0.480911,0.588087,0.559744,0.786401,0.812613,0.802853
JK-1,SRR8633299,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia),haematopoietic_neoplasm ,blast_phase_chronic_myeloid_leukaemia,primary,62.0,male,Asian,0.471112,0.0966716,0.168047,0.462627,0.649277,0.11465,0.405645,0.507734,0.483107,0.644295,0.710762,0.652722
JJN-3,SRR8633300,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (plasma_cell_myeloma),lymphoid_neoplasm ,plasma_cell_myeloma,primary,57.0,female,Caucasian,0.377773,0.0856368,0.135503,0.442226,0.620961,0.11024,0.326917,0.429472,0.400844,0.575233,0.636788,0.576124
JM1,SRR8633301,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (B_cell_lymphoma_unspecified),lymphoid_neoplasm ,B_cell_lymphoma_unspecified,primary,,,Caucasian,0.430979,0.189224,0.291824,0.479154,0.57187,0.285924,0.433005,0.443444,0.44543,0.538338,0.619125,0.607756
JL-1,SRR8633302,pleura,mesothelioma,mesothelioma,,primary,54.0,male,Caucasian,0.51038,0.113896,0.207073,0.61184,0.806976,0.152255,0.433407,0.538477,0.509977,0.770561,0.823846,0.800006
JURKAT,SRR8633303,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia),lymphoid_neoplasm ,acute_lymphoblastic_T_cell_leukaemia,primary,14.0,male,Caucasian,0.516804,0.179992,0.275349,0.568418,0.719674,0.253618,0.460491,0.541653,0.521155,0.715373,0.753679,0.730259
JMSU-1,SRR8633304,urinary_tract,carcinoma,carcinoma,,primary,75.0,male,Asian,0.38015,0.0869492,0.165911,0.438423,0.599685,0.126988,0.356845,0.415956,0.401486,0.57653,0.671893,0.624873
JVM-2,SRR8633305,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma),lymphoid_neoplasm ,,primary,63.0,female,Caucasian,0.339042,0.0996482,0.16755,0.406962,0.542694,0.131411,0.349035,0.375224,0.371492,0.446812,0.559763,0.45838
